'DPMA.sin_product_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.chebyshev_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.chebyshev_recurrence' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.green_jump' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.green_column_solves' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.montroll_determinant' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.numerator_collapse' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.antipodal_factorization' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.branch_deriv_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.branch_deriv_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.jump_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.jump_iff_secular' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.phi_continuous_at_theta' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.phi_dirichlet' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.antipodal_collapse' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.J_identity_abstract' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.J_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.antipodal_sin_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.antipodal_J' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.antipodal_G' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.Phi_hasDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.S1_hasDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.no_two_mode_fold' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.no_two_mode_fold_exp' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.three_mode_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.three_mode_alternating' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.Phinf_hasDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.nf_roots' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.nf_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.nf_prominence_exact' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.nf_prominence' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.prominence_constant' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.sherman_morrison_solve' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.pisc_solves' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.pisc_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.pisc_antipodal' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.r0_11_closed' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.sm_scalar' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.flux_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.fhat_assembly' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.fhat_levy' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.cut_g_transform' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.cut_normSq' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.cut_denominator_form' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.cut_denominator_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'DPMA.cut_im' depends on axioms: [propext, Classical.choice, Quot.sound]
